id,hypothesis,change,data,trainPeriod,validationPeriod,testPeriod,metric,acceptanceCriterion,result,decision,why
R5-00,"Either research branch is recoverable and contains data this project does not have","none -- audit only","git refs, remote, reflog, packed-refs, stash, all repos on the GitHub account, whole-filesystem search",n/a,n/a,"verdict window NOT read","existence","a branch, commit or file is located","ZERO hits. Neither branch exists locally, on origin, in s-mujtaba-haider/MLB, in s-mujtaba-haider/mlb-market-gate, or anywhere on C:. db/mlb_markets.duckdb, POOLED_ML_STATUS.md, MILESTONE_1_GATE_REPORT.md and all five named scripts: not present.",EVIDENCE,"The two testing guides are the only artefacts that arrived. Every branch claim is therefore an untested claim, not data. Parts 2-9 and 30-34 of the brief are BLOCKED, and are reported as blocked rather than filled in."
R5-00b,"The branch backfills contain markets or rows this warehouse lacks","none -- audit only","data_expanded_6h/ inventory vs the three row counts the 3-pass-markets guide states",n/a,n/a,"verdict window NOT read","row and game counts per market","branch count exceeds the local count on a gradeable market","pitcher_outs 14,067 raw here vs 5,451 claimed. batter_runs_scored 76,297 two-sided here vs 79,131 claimed (within 4%). batter_strikeouts 38,805 here vs 60,862 claimed.",EVIDENCE,"Two of three are already superset here from the same provider. The third is short of SETTLEMENTS, not odds: cache_mlb_boxscore_player_stats has no batter_strikeouts column for 2025-06..2026-05. Branch odds would add unsettleable candidates, not gradeable ones."
R5-00c,"The Odds API can still supply gradeable history this project does not have","none -- probe only","The Odds API historical endpoint, 12 probe dates 2020-2026",n/a,n/a,"verdict window NOT read","HTTP status and outcome counts per market per season","a season returns odds AND can be settled against boxscores.csv","2020/2021/2022 -> HTTP 422 'Historical odds are not available'. 2023 -> served from 2023-05, all 11 markets present. 2024/2025/2026 -> already ingested in round 4. Credits remaining 356,468; probe cost 670.",EVIDENCE,"2020-2022 cannot be bought at any price. 2023 CAN be bought but boxscores.csv spans 2024-04-01..2026-09-16 with zero 2023 rows, so no 2023 candidate can be settled. NOT purchased -- spending credits on ungradeable rows is waste and fabricating outcomes is not an option."
R5-01,"XGBoost produces a better-calibrated walk-forward probability than HistGradientBoosting on at least one market","new `xgb` walk-forward member, hyperparameters fixed in advance, NO search","data_expanded_6h/, 11 markets","SELECT-A at q=0.5/0.6/0.7","SELECT-B (held out)","verdict window NOT read","log loss on held-out SELECT-B","same member at all three inner cuts AND beats the global spec by >0.0011 at all three AND leaves a SELECT board >=500 rows",NOT RUN,NOT RUN,"Implemented and verified working (policy._fit_predict_xgb; xgboost 3.4.1 installed; member built and scored successfully on h2h and totals). Halted before the full cache build completed, on the client's instruction that round 5 is not needed if the data has not changed. R5-00/00b/00c establish that the data has not changed."
R5-02,"LightGBM likewise","new `lgbm` walk-forward member, hyperparameters fixed in advance, NO search","data_expanded_6h/, 11 markets","SELECT-A at q=0.5/0.6/0.7","SELECT-B (held out)","verdict window NOT read","log loss on held-out SELECT-B",as R5-01,NOT RUN,NOT RUN,"Implemented and verified working (policy._fit_predict_lgbm; lightgbm 4.7.0 installed, deterministic=True). Halted with R5-01."
R5-03,"The Poisson / negative-binomial count model carries information that is diluted when handed to a calibrator as one column among forty-six","new `nb` and `poi` members offering parPNb / parPAdj directly, in the one-column shape `price` uses","data_expanded_6h/, 8 prop markets","SELECT-A at q=0.5/0.6/0.7","SELECT-B (held out)","verdict window NOT read","log loss on held-out SELECT-B",as R5-01,NOT RUN,NOT RUN,"Round 4 pre-registered this as E27 and never ran it; it remains open. Implemented and verified to be correctly absent (NaN) on the three game markets, which have no column of this form. Halted with R5-01."
R5-04,"A pooled cross-market model estimates shared structure better than eleven per-market models -- the `8-pooled-ml` architecture","one XGBoost across all markets with market identity as a feature, fitted five times with seeds 1-5 under fixed row, feature and fold order","data_expanded_6h/, 11 markets pooled","chronological, warm-up 25%","SELECT-B","verdict window NOT read","spread of SELECT-B log loss across five seeds, then log loss","stability first: max-minus-min SELECT-B log loss across the five seeds below 0.0011. Then the adoption rule.",NOT RUN,NOT RUN,"Script written (exp_pooled_r5.py) with the stability diagnosis ahead of the result, as Part 33 requires. Halted with R5-01. NOTE: the branch's own status document already reports this model as run-to-run unstable and tells anyone resuming to fix that first -- so the prior is against it."
R5-05,"The 2026 deterioration is a regime change a recency-weighted or rolling training window should adapt to","`gbmW` (expanding, exponential recency weight, half-life 365d) and `gbmR` (rolling 365d) members","data_expanded_6h/, 11 markets","SELECT-A at q=0.5/0.6/0.7","SELECT-B (held out)","verdict window NOT read","log loss on held-out SELECT-B","beats arm A by >0.0011 on at least 6 of 11 markets",NOT RUN,NOT RUN,"Round 4 pre-registered this as E29 and never ran it; it remains open. Implemented and verified working. Halted with R5-01."
FLAML,"An AutoML search finds a better model family per market","none","n/a",n/a,n/a,n/a,n/a,n/a,NOT TESTED,DECLINED,"An AutoML time budget searches model families and hyperparameters against one objective on one split. That is precisely the multiple-comparisons exposure the three guards exist to catch, and it cannot honour the nested SELECT-A/SELECT-B contract without being rewritten into something that is no longer FLAML. Declined in the pre-registration, before any result existed -- not after."
CatBoost,"A third boosting library changes the answer","none","n/a",n/a,n/a,n/a,n/a,n/a,NOT TESTED,DECLINED,"Not named by either research branch. Adding it would be scope round 5 did not earn."
