source,season,markets,action,eventsFetched,rowsAdded,gamesAdded,creditsConsumed,creditsRemaining,dateRangeFrom,dateRangeTo,entryConvention,verified,result,reason
The Odds API historical,2020,all 11,PROBED ONLY,0,0,0,10,356468,2020-08-15,2020-08-15,n/a,yes,UNAVAILABLE,"HTTP 422 'Historical odds are not available'. Provider does not serve this season. Round 4 found the same; re-confirmed in round 5 on 2026-09-17."
The Odds API historical,2021,all 11,PROBED ONLY,0,0,0,10,356468,2021-07-15,2021-07-15,n/a,yes,UNAVAILABLE,HTTP 422. Same as 2020.
The Odds API historical,2022,all 11,PROBED ONLY,0,0,0,10,356468,2022-07-15,2022-07-15,n/a,yes,UNAVAILABLE,HTTP 422. Same as 2020.
The Odds API historical,2023,all 11,PROBED ONLY - NOT PURCHASED,0,0,0,60,356438,2023-05-15,2023-07-15,n/a,yes,UNGRADEABLE,"Odds ARE served from 2023-05 with all 11 markets present (286 batter_hits outcomes at the 2023-05 probe). But boxscores.csv holds 321,890 rows spanning 2024-04-01 to 2026-09-16 with ZERO 2023 rows, so no 2023 candidate can be settled. Purchasing would spend credits on rows that cannot be graded. NOT purchased."
The Odds API historical,2024,all 11,ALREADY INGESTED (round 4),included in 2111,217693,included,included in 331675,356468,2024-04-01,2024-12-31,T-6h,yes,PRESENT,Round 4 pull. No further 2024 gap found in round 5.
The Odds API historical,2025,all 11,ALREADY INGESTED (round 4),included in 2111,177773,included,included in 331675,356468,2025-01-01,2025-12-31,T-6h,yes,PRESENT,Round 4 pull.
The Odds API historical,2026,all 11,ALREADY INGESTED (round 4),included in 2111,140495,included,included in 331675,356468,2026-01-01,2026-09-16,T-6h,yes,PRESENT,"Round 4 pull. 2026 grew from 25,744 to 140,495 graded rows."
branch 3-pass-markets,2024-2026,"pitcher_outs, batter_runs_scored, batter_strikeouts",NOT IMPORTED,0,0,0,0,356468,,,unstated,no,BLOCKED,"Branch files do not exist on this machine (see BRANCH_RESEARCH_INVENTORY.md section 0). Two of the three markets are already present here at equal or greater volume from the same provider; the third (batter_strikeouts) is short of SETTLEMENTS, not of odds, so branch odds would add unsettleable candidates."
branch 8-pooled-ml,2023-2026,8 markets pooled,NOT IMPORTED,0,0,0,0,356468,,,unstated,no,BLOCKED,"Branch files do not exist on this machine. Its claimed 2023 coverage conflicts with this project's box-score floor of 2024-04-01."
ROUND 5 TOTAL,,,,0,0,0,670,356468,,,,,NO NEW DATA INGESTED,"Round 5 spent 670 credits establishing that no legitimately gradeable data remains to be bought, and imported zero rows. Round 4 had already exhausted the purchasable and settleable surface."
