branchFeatureName,localName,localSource,computation,lookbackWindow,timestampAvailability,missingValueBehaviour,pointInTimeComputable,leakageRisk,leakageEvidence,existsBeforeRound5,retainedInRound5,note
team Elo,"elo, eloDiff, eloP",features.elo() over boxscores.csv,"Running Elo. K=4.0, home-field 24 pts, log margin-of-victory damping, 0.30 revert to 1500 at each season boundary. The rating attached to a game is the rating BEFORE it.",all prior games (running total),"game_date as ::text; update applied only after the game finishes",cold start at 1500 for an unseen team,YES,NONE,"Causal by construction - a running total only moves forward, so a game's rating is built only from games that had already finished. lag_days>0 additionally defers each update by N days (the pend queue), and the placebo-lag variants exercise that path.",YES,YES (unchanged),"Named by both branch guides as a headline feature. Already present and already used by the game markets via COMPACT[game]."
player L10 / recent form,"clr25, clr100, clrEdge25, clrEdge100, empP",features._build_prop() via frames.asof_rollup,"How often this player has already cleared THIS number, over his last 25 and last 100 appearances, shrunk toward the market's own price.",25 and 100 appearances,per-appearance rows keyed on local calendar day,"shrunk to a league prior when nHist is thin; NaN only if the player has no history at all",YES,NONE,"asof_rollup indexes with searchsorted(d, d-lag, side=left), so a row on day D aggregates rows on days STRICTLY BEFORE D. check_asof.py recomputes sampled rows the slow way: 0 mismatches, and 188/200 sampled rows WOULD change if the game's own day were admitted.",YES,YES (unchanged),"Longer than the branch's stated L10. Not shortened to 10 - a window is not changed to match an outside document."
pitcher L10 / starter form,"spRunPerOut, spOutsPerGame, pitcher_form 5/25/100",features.pitcher_form(),"Starter pitch budget, pitches per out, walk rate, 5-start form against a 25-start baseline, and the start-to-start spread of his own outs.",5, 25 and 100 starts,as above,league prior when thin,YES,NONE,as above,YES,YES (unchanged),"The 5-vs-25-start contrast is the direct analogue of the branch's L10."
bullpen fatigue,"hbpRunPerOut, abpRunPerOut, hbpKPerBf, bpRunGap, teamBpOutsPerGame, oppBpRunPerOut",features.bullpen(),"Relief corps as-of runs per out, K and BB per batter faced, innings per game - rebuilt from relief box-score lines.",25 team-games,as above,league prior when thin,YES,NONE,as above,YES,YES (unchanged),"Deliberately rebuilt from box-score lines rather than read from cache_mlb_historical_bullpen, which ends 2025-10-31."
park factors,"parkRunRel, parkHrRel",features.park_env(),"Runs and home runs per game already hit in THIS ballpark over the last 100 games there, shrunk hard to the league rate.",100 games at that park,as above,shrunk to league rate,YES,NONE,as above,YES,YES (unchanged),"Named by both branch guides. Already present."
platoon / handedness,"batHand, pitHand (E19)",cache_mlb_player_metadata,bats/throws joined to the batter and the announced starter,static,static attribute,91.5% coverage of batter appearances,YES,NONE,"Static attribute, safe. Not a timing question.",YES (behind a flag),NO - stays OFF,"Round 3's E19 tested it and REJECTED it: gbm skill moved inside the noise band and only 21 of 55 member-market cells improved. The book knows the starter and the batter's hand too. Not re-opened in round 5 - re-running a closed rejection until it passes is the trap Part 14 names."
opponent strength,"oppAllowRel, oppRunPerOut, oppKPerBf, oppRapg25, oppObp25",features._build_prop / _build_game,the opposing side's as-of allowance rate,25 team-games,as above,league prior when thin,YES,NONE,as above,YES,YES (unchanged),
team context,"teamObp25, teamRpg25, teamPaPg25",features.team_offense(),team as-of on-base rate, runs scored and runs allowed per game,25 team-games,as above,league prior when thin,YES,NONE,as above,YES,YES (unchanged),
player opportunity,"expOpp, rate, oppPerGame, oppGap",features._build_prop(),rate per opportunity x expected opportunities shrunk to a league prior,25/100 appearances,as above,league prior,YES,NONE,as above,YES,YES (unchanged),
lineup context,"slot25, slotPa, startShare25",features.lineup_slot(),as-of batting-order slot and starter share,25 appearances,as above,NaN if never started,YES,NONE,"Built from PRIOR games' box scores, NOT from cache_mlb_historical_lineups - that table is UNUSABLE: every row was written after first pitch (min +87.5h, mean +600 days). It is the game's own lineup, backfilled, late scratches included. Using it would be a direct leak.",YES,YES (unchanged),"The most important rejection in the feature set. Documented so it is not re-introduced."
pitcher workload / recent usage,"restDays, pitch budget, pitchesPerOut",features.pitcher_form / rest_days,days since last appearance and pitch-count budget,prior appearances,as above,NaN if no prior appearance,YES,NONE,as above,YES,YES (unchanged),
price features,"pLogit, overround, lineZ, dispOver, dispUnder, nBooks",frames + features.game_prices(),"de-vigged implied probability, overround, line z-score, cross-book dispersion, book count - all at the ENTRY snapshot",single snapshot,T-6h before first pitch (verified 6.01h median),NaN if the market is one-sided,YES,NONE,"Read from the entry snapshot only. No closing price and no opening price exist in the dumps, so line movement CANNOT be reconstructed - which also means it cannot accidentally be used. See reports/entry_time_reconciliation.txt.",YES,YES (unchanged),"Part 19: implied probability, vig-adjusted implied probability, favourite/underdog and line distance are all present. Price MOVEMENT is not, and is not fabricated."
